abstract,authors,id,title,url
"BACKGROUND:Medical simulation has become an essential educational tool in the curricula of healthcare professionals. A literature review revealed a knowledge gap in healthcare simulation education with respect to the technological expertise required to operate highly sophisticated simulation equipment. With this motivation, a case study was designed to determine if implementing on-site technological expertise allows for the facile navigation of high fidelity manikins. Next, a research study was conducted to evaluate engineering students understanding of simulation, and their interest to attend a program in medical simulation. OBJECTIVES:To determine if on-site technological expertise lifts barriers associated with manikin use and to assess levels of understanding and interest among engineering students following exposure to the technology used in healthcare simulation. DESIGN:A prospective, descriptive study with pre-post surveys. SETTINGS:The Nursing Skills and Simulation Center at a New England University campus. PARTICIPANTS:Engineering students attending 6 different engineering programs (Computer Science, Computer Engineering, Mechanical Engineering, Biomedical Engineering, Electrical Engineering and Technology Management) and having different educational levels (undergraduate and graduate). METHODS:Two assessments were applied to engineering students attending a class on technology used in healthcare simulation. A pre-test measured the understanding and interest of students in the engineering/computer science courses before attending a simulation class. A post-test assessment measured their improvement in understanding and interest to learn more about simulation technologies. RESULTS:Statistical analysis and comparisons of pre-and post-test assessments show a 23% gain in understanding of this field following exposure to the healthcare simulation class. Furthermore, post test results show greater than 67% of those surveyed have an interest in attending a program in healthcare simulation. CONCLUSIONS:The results indicate the collaboration of nursing and engineering has lifted known barriers to simulation education, and reveal engineering students have an interest in the field of medical simulation.","Papp C
Deeb RS
Booth C
El-Sayed A
Freilicher T
","(PMID:30205258
)",Bridging medical simulation with computer science and engineering: A growing field of study.,https://europepmc.org/abstract/MED/30205258%0A
"This paper addresses two questions related to reproducibility within the context of research related to computer science. First, requirements on reproducibility are analyzed based on a survey addressed to researchers in the academic and private sector. The survey indicates a strong need for open but also easily accessible results, thus reproducing an experiment should not require too much effort. The results from the survey are then used to formulate general guidelines for making research results reproducible. In addition, this paper explores a number of existing software tools that could bring forward reproducibility in research results. After a general analysis of tools a further investigation is done via three case studies based on actual research projects which are used to evaluate the previously introduced tools. Results indicate that due to conflicting requirements, none of the presented solutions fulfills all intended goals perfectly. However, we present requirements and guidelines for making research reproducible. While the main focus of this paper is on reproducibility in computer science, the results of this paper are still valid for other fields using computation as a tool.","Elmenreich W
Moll P
Theuermann S
Lux M
","(PPR:PPR46281
)",Making computer science results reproducible - A case study using Gradle and Docker,https://europepmc.org/abstract/PPR/PPR46281%0A
"The aim of the present study is to investigate both the performance and preferences of males and females Computer Science (CS) graduates. In order to attain the above goal, a quantitative case study was conducted regarding 89 degrees, acquired from 2006 to 2012, from the Department of Computer Science and Technology, University of Peloponnese, Greece. The analysis of the data revealed that in terms of performance, no significant differences between the mean grades of males and females exist, in almost most of the courses included in the curriculum of the aforementioned CS department. Any statistically significant differences in performances were present in almost equal number of courses in favor of males and females. It seems also, that females performed better in the courses they selected more than males. Regarding preferences, in CS courses, it seems that gender differences are existent. Males preferred more than females did core programming courses and advanced topics of Software Systems, computer networks, computer engineering, robotics and mathematics, whereas females preferred more the study of algorithms and security issues, computer fractals, data management, computer architecture, and mobile communication. In addition, females preferred courses in reference with humanities and social sciences, CS terminology, and career opportunities. Yet, females did not select any of programming lab-based courses, computer engineering, computer network issues and robotics.","Berdousis I
Kordaki M
","(PPR:PPR50534
)",Gender Gap in Computer Science: Preferences and Performance,https://europepmc.org/abstract/PPR/PPR50534%0A
"As computer scientists working in bioinformatics/computational biology, we often face the challenge of coming up with an algorithm to answer a biological question. This occurs in many areas, such as variant calling, alignment and assembly. In this tutorial, we use the example of the genome assembly problem to demonstrate how to go from a question in the biological realm to a solution in the computer science realm. We show the modeling process step-by-step, including all the intermediate failed attempts. Please note this is not an introduction to how genome assembly algorithms work and, if treated as such, would be incomplete and unnecessarily long-winded.","Medvedev P
","(PMID:29394324
)",Modeling biological problems in computer science: a case study in genome assembly.,https://europepmc.org/abstract/MED/29394324%0A
No abstract provided.,"Schramm S
","(PMID:29052633
)",Computer science: Data analysis meets quantum physics.,https://europepmc.org/abstract/MED/29052633%0A
"Connecting the dots among the amino acid sequence of a protein, its structure, and its function remains a central theme in molecular biology, as it would have many applications in the treatment of illnesses related to misfolding or protein instability. As a result of high-throughput sequencing methods, biologists currently live in a protein sequence-rich world. However, our knowledge of protein structure based on experimental data remains comparatively limited. As a consequence, protein structure prediction has established itself as a very active field of research to fill in this gap. This field, once thought to be reserved for theoretical biophysicists, is constantly reinventing itself, borrowing ideas informed by an ever-increasing assembly of scientific domains, from biology, chemistry, (statistical) physics, mathematics, computer science, statistics, bioinformatics, and more recently data sciences. We review the recent progress arising from this integration of knowledge, from the development of specific computer architecture to allow for longer timescales in physics-based simulations of protein folding to the recent advances in predicting contacts in proteins based on detection of coevolution using very large data sets of aligned protein sequences.","Delarue M
Koehl P
","(PMID:30079234
 PMCID:PMC6058471)","Combined approaches from physics, statistics, and computer science for ab initio protein structure prediction: ex unitate vires (unity is strength)?",https://europepmc.org/abstract/MED/30079234%0A
"Connecting the dots among the amino acid sequence of a protein, its structure, and its function remains a central theme in molecular biology, as it would have many applications in the treatment of illnesses related to misfolding or protein instability. As a result of high-throughput sequencing methods, biologists currently live in a protein sequence-rich world. However, our knowledge of protein structure based on experimental data remains comparatively limited. As a consequence, protein structure prediction has established itself as a very active field of research to fill in this gap. This field, once thought to be reserved for theoretical biophysicists, is constantly reinventing itself, borrowing ideas informed by an ever-increasing assembly of scientific domains, from biology, chemistry, (statistical) physics, mathematics, computer science, statistics, bioinformatics, and more recently data sciences. We review the recent progress arising from this integration of knowledge, from the development of specific computer architecture to allow for longer timescales in physics-based simulations of protein folding to the recent advances in predicting contacts in proteins based on detection of coevolution using very large data sets of aligned protein sequences.","Delarue M
Koehl P
","(PPR:PPR45704
)","Combined approaches from physics, statistics, and computer science for ab initio protein structure prediction: ex unitate vires (unity is strength)?",https://europepmc.org/abstract/PPR/PPR45704%0A
"The recent ""incentive auction"" of the US Federal Communications Commission was the first auction to reallocate radio frequencies between two different kinds of uses: from broadcast television to wireless Internet access. The design challenge was not just to choose market rules to govern a fixed set of potential trades but also, to determine the broadcasters' property rights, the goods to be exchanged, the quantities to be traded, the computational procedures, and even some of the performance objectives. An essential and unusual challenge was to make the auction simple enough for human participants while still ensuring that the computations would be tractable and capable of delivering nearly efficient outcomes.","Leyton-Brown K
Milgrom P
Segal I
","(PMID:28652335
 PMCID:PMC5514724)",Economics and computer science of a radio spectrum reallocation.,https://europepmc.org/abstract/MED/28652335%0A
No abstract provided.,"Cardelli L
Hernansaiz-Ballesteros RD
Dalchau N
Csikász-Nagy A
","(PMID:28056093
 PMCID:PMC5215766)",Efficient Switches in Biology and Computer Science.,https://europepmc.org/abstract/MED/28056093%0A
"This special issue on advancing interdisciplinary collaboration between computer scientists and social scientists documents the joint results of the international Lorentz workshop, ""Interdisciplinary Insights into Group and Team Dynamics,"" which took place in Leiden, The Netherlands, July 2016. An equal number of scholars from social and computer science participated in the workshop and contributed to the papers included in this special issue. In this introduction, we first identify interaction dynamics as the core of group and team models and review how scholars in social and computer science have typically approached behavioral interactions in groups and teams. Next, we identify key challenges for interdisciplinary collaboration between social and computer scientists, and we provide an overview of the different articles in this special issue aimed at addressing these challenges.","Lehmann-Willenbrock N
Hung H
Keyton J
","(PMID:29249891
 PMCID:PMC5700772)",New Frontiers in Analyzing Dynamic Group Interactions: Bridging Social and Computer Science.,https://europepmc.org/abstract/MED/29249891%0A
