introduction,name,urlofmajors
,,
"In the United States, Geospatial Intelligence, GEOINT (GEOspatial INTelligence) is intelligence about the human activity on earth derived from the exploitation and analysis of imagery and geospatial information that describes, assesses, and visually depicts physical features and geographically referenced activities on the Earth. GEOINT, as defined in US Code, consists of imagery, imagery intelligence (IMINT) and geospatial information.[1]GEOINT knowledge and related tradecraft is no longer confined to the U.S. government, or even the world?€?s leading military powers. Additionally, countries such as India are holding GEOINT-specific conferences. While other countries may define geospatial intelligence somewhat differently than does the U.S., the use of GEOINT data and services is the same.[2]",Geospatial intelligence,https://en.wikipedia.org/wiki/Geospatial_intelligence
,,
"Fluorescence is the emission of light by a substance that has absorbed light or other electromagnetic radiation. It is a form of luminescence. In most cases, the emitted light has a longer wavelength, and therefore lower energy, than the absorbed radiation. The most striking example of fluorescence occurs when the absorbed radiation is in the ultraviolet region of the spectrum, and thus invisible to the human eye, while the emitted light is in the visible region, which gives the fluorescent substance a distinct color that can be seen only when exposed to UV light. Fluorescent materials cease to glow nearly immediately when the radiation source stops, unlike phosphorescent materials, which continue to emit light for some time after.Fluorescence has many practical applications, including mineralogy, gemology, medicine, chemical sensors (fluorescence spectroscopy), fluorescent labelling, dyes, biological detectors, cosmic-ray detection, and, most commonly, fluorescent lamps. Fluorescence also occurs frequently in nature in some minerals and in various biological states in many branches of the animal kingdom.",Fluorescence,https://en.wikipedia.org/wiki/Fluorescence
,,
This belongs to Disambiguation pages. Open it in your browser,Foundation,https://en.wikipedia.org/wiki/Foundation
,,
"Fluid mechanics is the branch of physics concerned with the mechanics of fluids (liquids, gases, and plasmas) and the forces on them.  Fluid mechanics has a wide range of applications, including mechanical engineering, civil engineering, chemical engineering, biomedical engineering, geophysics, astrophysics, and biology. Fluid mechanics can be divided into fluid statics, the study of fluids at rest; and fluid dynamics, the study of the effect of forces on fluid motion.  It is a branch of continuum mechanics, a subject which models matter without using the information that it is made out of atoms; that is, it models matter from a macroscopic viewpoint rather than from microscopic. Fluid mechanics, especially fluid dynamics, is an active field of research with many problems that are partly or wholly unsolved.  Fluid mechanics can be mathematically complex, and can best be solved by numerical methods, typically using computers.  A modern discipline, called computational fluid dynamics (CFD), is devoted to this approach to solving fluid mechanics problems. Particle image velocimetry, an experimental method for visualizing and analyzing fluid flow, also takes advantage of the highly visual nature of fluid flow.",Fluid mechanics,https://en.wikipedia.org/wiki/Fluid_mechanics
,,
"In the context of hardware and software systems, formal verification is the act of proving or disproving the correctness of intended algorithms underlying a system with respect to a certain formal specification or property, using formal methods of mathematics.[1]Formal verification can be helpful in proving the correctness of systems such as: cryptographic protocols, combinational circuits, digital circuits with internal memory, and software expressed as source code.The verification of these systems is done by providing a formal proof on an abstract mathematical model of the system, the correspondence between the mathematical model and the nature of the system being otherwise known by construction.  Examples of mathematical objects often used to model systems are: finite state machines, labelled transition systems, Petri nets, vector addition systems, timed automata, hybrid automata, process algebra, formal semantics of programming languages such as operational semantics, denotational semantics, axiomatic semantics and Hoare logic.[2]",Formal verification,https://en.wikipedia.org/wiki/Formal_verification
,,
"A geographic information system (GIS) is a system designed to capture, store, manipulate, analyze, manage, and present spatial or geographic data. GIS applications are tools that allow users to create interactive queries (user-created searches), analyze spatial information, edit data in maps, and present the results of all these operations.[1][2] GIS (more commonly GIScience) sometimes refers to  geographic information science (GIScience),  the science underlying geographic concepts, applications, and systems.[3]GIS can refer to a number of different technologies, processes, and methods. It is attached to many operations and has many applications related to engineering, planning, management, transport/logistics, insurance, telecommunications, and business.[2] For that reason, GIS and location intelligence applications can be the foundation for many location-enabled services that rely on analysis and visualization.GIS can relate unrelated information by using location as the key index variable. Locations or extents in the Earth space?€?time may be recorded as dates/times of occurrence, and x, y, and z coordinates representing, longitude, latitude, and elevation, respectively. All Earth-based spatial?€?temporal location and extent references should be relatable to one another and ultimately to a ""real"" physical location or extent. This key characteristic of GIS has begun to open new avenues of scientific inquiry.",Geographic information system,https://en.wikipedia.org/wiki/Geographic_information_system
,,
"In computer science, specifically software engineering and hardware engineering, formal methods are a particular kind of mathematically based techniques for the specification, development and verification of software and hardware systems.[1] The use of formal methods for software and hardware design is motivated by the expectation that, as in other engineering disciplines, performing appropriate mathematical analysis can contribute to the reliability and robustness of a design.[2]Formal methods are best described as the application of a fairly broad variety of theoretical computer science fundamentals, in particular logic calculi, formal languages, automata theory, discrete event dynamic system and program semantics, but also type systems and algebraic data types to problems in software and hardware specification and verification.[3]",Formal methods,https://en.wikipedia.org/wiki/Formal_methods
,,
"A fracture is the separation of an object or material into two or more pieces under the action of stress.  The fracture of a solid usually occurs due to the development of certain displacement discontinuity surfaces within the solid. If a displacement develops perpendicular to the surface of displacement, it is called a normal tensile crack or simply a crack; if a displacement develops tangentially to the surface of displacement, it is called a shear crack, slip band, or dislocation.[1]Brittle fractures occur with no apparent deformation before fracture; ductile fractures occur when visible deformation does occur before separation.  Fracture strength or breaking strength is the stress when a specimen fails or fractures.  A detailed understanding of how fracture occurs in materials may be assisted by the study of fracture mechanics.",Fracture,https://en.wikipedia.org/wiki/Fracture
,,
"A field-programmable gate array (FPGA) is an integrated circuit designed to be configured by a customer or a designer after manufacturing???€?  hence ""field-programmable"". The FPGA configuration is generally specified using a hardware description language (HDL), similar to that used for an application-specific integrated circuit (ASIC) (circuit diagrams were previously used to specify the configuration, as they were for ASICs, but this is increasingly rare).",Field-programmable gate array,https://en.wikipedia.org/wiki/Field-programmable_gate_array
,,
"Genomics is an interdisciplinary field of science focusing on the structure, function, evolution, mapping, and editing of genomes. A genome is an organism's complete set of DNA, including all of its genes. In contrast to genetics, which refers to the study of individual genes and their roles in inheritance, genomics aims at the collective characterization and quantification of genes, which direct the production of proteins with the assistance of enzymes and messenger molecules. In turn, proteins make up body structures such as organs and tissues as well as control chemical reactions and carry signals between cells. Genomics also involves the sequencing and analysis of genomes through uses of high throughput DNA sequencing and bioinformatics to assemble and analyze the function and structure of entire genomes.[1][2][3] Advances in genomics have triggered a revolution in discovery-based research and systems biology to facilitate understanding of even the most complex biological systems such as the brain.[4]The field also includes studies of intragenomic (within the genome) phenomena such as epistasis (effect of one gene on another), pleiotropy (one gene affecting more than one trait), heterosis (hybrid vigour), and other interactions between loci and alleles within the genome.[5]",Genomics,https://en.wikipedia.org/wiki/Genomics
,,
This belongs to Disambiguation pages. Open it in your browser,Faculty,https://en.wikipedia.org/wiki/Faculty
,,
"The finite element method (FEM), is a numerical method for solving problems of engineering and mathematical physics. Typical problem areas of interest include structural analysis, heat transfer, fluid flow, mass transport, and electromagnetic potential. The  analytical solution of these problems generally require the solution to boundary value problems for partial differential equations. The finite element method formulation of the problem results in a system of algebraic equations. The method yields approximate values of the unknowns at discrete number of points over the domain.[1] To solve the problem, it subdivides a large problem into smaller, simpler parts that are called finite elements. The simple equations that model these finite elements are then assembled into a larger system of equations that models the entire problem. FEM then uses variational methods from the calculus of variations to approximate a solution by minimizing an associated error function.Studying or analyzing a phenomenon with FEM is often referred to as finite element analysis (FEA).",Finite element method,https://en.wikipedia.org/wiki/Finite_element_method
,,
"An explosive material, also called an explosive, is a reactive substance that contains a great amount of potential energy that can produce an explosion if released suddenly, usually accompanied by the production of light, heat, sound, and pressure. An explosive charge is a measured quantity of explosive material, which may be composed of a single ingredient or a combination of two or more.The potential energy stored in an explosive material may, for example, bechemical energy, such as nitroglycerin or grain dust
pressurized gas, such as a gas cylinder or aerosol can
nuclear energy, such as in the fissile isotopes uranium-235 and plutonium-239",Explosive,https://en.wikipedia.org/wiki/Explosive
,,
"Environmental engineering system is the branch of engineering concerned with the application of scientific and engineering principles for protection of human populations from the effects of adverse environmental factors; protection of environments, both local and global, from  potentially deleterious effects of natural and human activities; and improvement of environmental quality.[1]Environmental engineering system can also be described as a branch of applied science and technology that addresses the issues of energy preservation, protection of assets and control of waste from human and animal activities. Furthermore, it is concerned with finding plausible solutions in the field of public health, such as waterborne diseases, implementing laws which promote adequate sanitation in urban, rural and recreational areas. It involves waste water management, air pollution control, recycling, waste disposal, radiation protection, industrial hygiene, animal agriculture, environmental sustainability, public health and environmental engineering law. It also includes studies on the environmental impact of proposed construction projects.Environmental engineers system study the effect of technological advances on the environment. To do so, they conduct studies on hazardous-waste management to evaluate the significance of such hazards, advise on treatment and containment, and develop regulations to prevent mishaps. Environmental engineers design municipal water supply and industrial wastewater treatment systems.[2][3] They address local and worldwide environmental issues such as the effects of acid rain, global warming, ozone depletion, water pollution and air pollution from automobile exhausts and industrial sources.[4][5][6][7]Many universities offer environmental engineering programs at either the department of civil engineering or the department of chemical engineering at engineering faculties. Environmental ""civil"" engineers focus on hydrology, water resources management, bioremediation, and water treatment plant design. Environmental ""chemical"" engineers, on the other hand, focus on environmental chemistry, advanced air and water treatment technologies and separation processes.[citation needed] Some subdivision of environmental engineering include natural resources engineering and agricultural engineering.More engineers are obtaining specialized training in law (J.D.) and are utilizing their technical expertise in the practices of environmental engineering law.[citation needed]Most jurisdictions also impose licensing and registration requirements.",Environmental engineering,https://en.wikipedia.org/wiki/Environmental_engineering
,,
"Filmmaking (or, in an academic context, film production) is the process of making a film, generally in the sense of films intended for extensive theatrical exhibition. Filmmaking involves a number of discrete stages including an initial story, idea, or commission, through screenwriting, casting, shooting, sound recording and reproduction, editing, and screening the finished product before an audience that may result in a film release and exhibition. Filmmaking takes place in many places around the world in a range of economic, social, and political contexts, and using a variety of technologies and cinematic techniques. Typically, it involves a large number of people, and can take from a few months to several years to complete.",Filmmaking,https://en.wikipedia.org/wiki/Filmmaking
,,
"Entertainment technology is the discipline of using manufactured or created components to enhance or make possible any sort of entertainment experience.  Because entertainment categories are so broad, and because entertainment models the world in many ways, the types of implemented technology are derived from a variety of sources.  Thus, in theatre, for example, entertainment technology practitioners must be able to design and construct scenery, install electrical systems, build clothing, use motors if there is scenery automation,[clarification needed] provide plumbing (if functioning kitchen fixtures are required, or if ""singing in the rain""), etc. In this way, the entertainment technology field intersects with most other types of technology.Traditionally, entertainment technology is derived from theatrical stagecraft, and stagecraft is an important subset of the discipline. However, the rise of new types and venues for entertainment, as well as rapidly advancing technological development, has increased the range and scope of its practice.Entertainment technology includes:Scenery fabrication
Properties
Costume
Lighting
Sound
Video
Show control
Automation
Animatronics
Interactive environments
Computer simulation",Entertainment technology,https://en.wikipedia.org/wiki/Entertainment_technology
,,
